Term,Department,Number of Sections,Enrollments,Mean Points
16F,WRIT,39,600,11.118951612903226
17W,WRIT,38,578,11.189583333333333
17S,WRIT,6,96,11.5
17X,WRIT,2,26,11.75
17F,WRIT,35,542,11.632352941176471
18W,WRIT,39,606,11.120833333333332
18S,WRIT,9,142,11.666666666666664
18X,WRIT,1,17,12.0
18F,WRIT,41,640,11.267361111111109
19W,WRIT,37,577,11.435363247863247
19S,WRIT,7,109,11.642857142857142
19X,WRIT,1,19,12.0
19F,WRIT,42,657,11.255050505050503
20W,WRIT,42,644,11.825066137566138
16F,COSC,16,616,10.3125
17W,COSC,13,581,10.666666666666666
17S,COSC,14,614,10.75
17X,COSC,3,148,10.666666666666666
17F,COSC,13,577,10.692307692307693
18W,COSC,14,614,10.75
18S,COSC,19,713,10.947368421052632
18X,COSC,2,99,11.0
18F,COSC,16,650,10.583333333333334
19W,COSC,19,710,11.055555555555555
19S,COSC,20,799,11.25
19X,COSC,3,124,11.0
19F,COSC,15,616,10.785714285714288
20W,COSC,20,726,11.277777777777779
16F,MATH,27,2686,9.653846153846152
17W,MATH,18,1050,10.681818181818182
17S,MATH,20,878,10.5
17X,MATH,4,185,10.5
17F,MATH,28,2576,10.071428571428571
18W,MATH,21,1012,10.576923076923077
18S,MATH,22,887,10.7
18X,MATH,5,116,11.2
18F,MATH,28,2505,10.038461538461537
19W,MATH,19,1118,10.958333333333336
19S,MATH,22,1104,10.653846153846152
19X,MATH,4,123,10.666666666666666
19F,MATH,29,2528,10.666666666666666
20W,MATH,20,1055,10.125
